dataset,gt-tag,train-size,test-size,method,prec,recal,f1
amz,amz-title,1,77,Tags on path,1.0,1.0,1.0
amz,amz-title,2,77,Tags on path,1.0,1.0,1.0
amz,amz-title,3,77,Tags on path,1.0,1.0,1.0
amz,amz-title,4,77,Tags on path,1.0,1.0,1.0
amz,amz-title,5,77,Tags on path,1.0,1.0,1.0
amz,amz-title,6,77,Tags on path,1.0,1.0,1.0
amz,amz-title,7,77,Tags on path,1.0,1.0,1.0
amz,amz-title,8,77,Tags on path,1.0,1.0,1.0
amz,amz-title,9,77,Tags on path,1.0,1.0,1.0
amz,amz-title,10,77,Tags on path,1.0,1.0,1.0
amz,amz-title,11,77,Tags on path,1.0,1.0,1.0
amz,amz-title,12,77,Tags on path,1.0,1.0,1.0
amz,amz-title,13,77,Tags on path,1.0,1.0,1.0
amz,amz-title,14,77,Tags on path,1.0,1.0,1.0
amz,amz-title,15,77,Tags on path,1.0,1.0,1.0
amz,amz-title,16,77,Tags on path,1.0,1.0,1.0
amz,amz-title,17,77,Tags on path,1.0,1.0,1.0
amz,amz-title,18,77,Tags on path,1.0,1.0,1.0
amz,amz-title,19,77,Tags on path,1.0,1.0,1.0
amz,amz-title,20,77,Tags on path,1.0,1.0,1.0
amz,amz-title,1,77,Ensemble of tags and positions,1.0,0.8181818181818182,0.9
amz,amz-title,2,77,Ensemble of tags and positions,1.0,0.8181818181818182,0.9
amz,amz-title,3,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,4,77,Ensemble of tags and positions,1.0,0.8181818181818182,0.9
amz,amz-title,5,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,6,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,7,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,8,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,9,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,10,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,11,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,12,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,13,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,14,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,15,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,16,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,17,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,18,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,19,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,20,77,Ensemble of tags and positions,1.0,0.987012987012987,0.9934640522875817
amz,amz-title,1,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,2,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,3,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,4,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,5,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,6,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,7,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,8,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,9,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,10,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,11,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,12,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,13,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,14,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,15,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,16,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,17,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,18,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,19,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
amz,amz-title,20,77,Ancestors and siblings and their text attributes,1.0,1.0,1.0
