dataset,gt-tag,train-size,test-size,method,prec,recal,f1
wiki,wiki-pol-party,1,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,2,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,3,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,4,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,5,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,6,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,7,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,8,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,9,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,1,36,Ensemble of tags and positions,0.08,0.05555555555555555,0.06557377049180328
wiki,wiki-pol-party,2,36,Ensemble of tags and positions,0.0,0.0,0
wiki,wiki-pol-party,3,36,Ensemble of tags and positions,0.09259259259259259,0.1388888888888889,0.11111111111111112
wiki,wiki-pol-party,4,36,Ensemble of tags and positions,0.024390243902439025,0.027777777777777776,0.025974025974025976
wiki,wiki-pol-party,5,36,Ensemble of tags and positions,0.037037037037037035,0.08333333333333333,0.05128205128205128
wiki,wiki-pol-party,6,36,Ensemble of tags and positions,0.0660377358490566,0.19444444444444445,0.09859154929577464
wiki,wiki-pol-party,7,36,Ensemble of tags and positions,0.08139534883720931,0.19444444444444445,0.11475409836065575
wiki,wiki-pol-party,8,36,Ensemble of tags and positions,0.056451612903225805,0.19444444444444445,0.08750000000000001
wiki,wiki-pol-party,9,36,Ensemble of tags and positions,0.05303030303030303,0.19444444444444445,0.08333333333333333
wiki,wiki-pol-party,1,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,2,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,3,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,4,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,5,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,6,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,7,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,8,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,9,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
