dataset,gt-tag,train-size,test-size,method,prec,recal,f1
amz,amz-price,1,77,Ensemble of induced naive xpath (tag & pos),1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,2,77,Ensemble of induced naive xpath (tag & pos),1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,3,77,Ensemble of induced naive xpath (tag & pos),1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,4,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,5,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,6,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,7,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,8,77,Ensemble of induced naive xpath (tag & pos),1.0,0.6056338028169014,0.7543859649122806
amz,amz-price,9,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,10,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,11,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,12,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,13,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,14,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,15,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,16,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,17,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,18,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,19,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-price,20,77,Ensemble of induced naive xpath (tag & pos),1.0,0.7323943661971831,0.8455284552845529
amz,amz-title,1,77,Ensemble of induced naive xpath (tag & pos),1.0,0.8181818181818182,0.9
amz,amz-title,2,77,Ensemble of induced naive xpath (tag & pos),1.0,0.8181818181818182,0.9
amz,amz-title,3,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,4,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,5,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,6,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,7,77,Ensemble of induced naive xpath (tag & pos),1.0,0.8181818181818182,0.9
amz,amz-title,8,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,9,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,10,77,Ensemble of induced naive xpath (tag & pos),1.0,0.8181818181818182,0.9
amz,amz-title,11,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,12,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,13,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,14,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,15,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,16,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,17,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,18,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,19,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,20,77,Ensemble of induced naive xpath (tag & pos),1.0,0.987012987012987,0.9934640522875817
amz,amz-title,1,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,2,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,3,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,4,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,5,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,6,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,7,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,8,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,9,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,10,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,11,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,12,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,13,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,14,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,15,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,16,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,17,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,18,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,19,77,Naive (only consider tags on path),1.0,1.0,1.0
amz,amz-title,20,77,Naive (only consider tags on path),1.0,1.0,1.0
wiki,wiki-pol-party,1,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,2,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,3,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,4,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,5,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,6,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,7,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,8,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,9,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,1,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,2,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,3,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,4,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,5,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,6,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,7,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,8,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,9,36,Naive (only consider tags on path),0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,1,36,Ensemble of induced naive xpath (tag & pos),0.07692307692307693,0.027777777777777776,0.04081632653061225
wiki,wiki-pol-party,2,36,Ensemble of induced naive xpath (tag & pos),0.024390243902439025,0.027777777777777776,0.025974025974025976
wiki,wiki-pol-party,3,36,Ensemble of induced naive xpath (tag & pos),0.05,0.027777777777777776,0.03571428571428571
wiki,wiki-pol-party,4,36,Ensemble of induced naive xpath (tag & pos),0.078125,0.1388888888888889,0.09999999999999999
wiki,wiki-pol-party,5,36,Ensemble of induced naive xpath (tag & pos),0.05434782608695652,0.1388888888888889,0.078125
wiki,wiki-pol-party,6,36,Ensemble of induced naive xpath (tag & pos),0.07865168539325842,0.19444444444444445,0.11199999999999999
wiki,wiki-pol-party,7,36,Ensemble of induced naive xpath (tag & pos),0.0297029702970297,0.08333333333333333,0.0437956204379562
wiki,wiki-pol-party,8,36,Ensemble of induced naive xpath (tag & pos),0.06140350877192982,0.19444444444444445,0.09333333333333332
wiki,wiki-pol-party,9,36,Ensemble of induced naive xpath (tag & pos),0.05303030303030303,0.19444444444444445,0.08333333333333333
wiki,wiki-pol-party,1,36,Ensemble of induced naive xpath (tag & pos),0.0,0.0,0
wiki,wiki-pol-party,2,36,Ensemble of induced naive xpath (tag & pos),0.1388888888888889,0.1388888888888889,0.1388888888888889
wiki,wiki-pol-party,3,36,Ensemble of induced naive xpath (tag & pos),0.02631578947368421,0.027777777777777776,0.02702702702702703
wiki,wiki-pol-party,4,36,Ensemble of induced naive xpath (tag & pos),0.0,0.0,0
wiki,wiki-pol-party,5,36,Ensemble of induced naive xpath (tag & pos),0.013513513513513514,0.027777777777777776,0.01818181818181818
wiki,wiki-pol-party,6,36,Ensemble of induced naive xpath (tag & pos),0.09210526315789473,0.19444444444444445,0.125
wiki,wiki-pol-party,7,36,Ensemble of induced naive xpath (tag & pos),0.050505050505050504,0.1388888888888889,0.07407407407407407
wiki,wiki-pol-party,8,36,Ensemble of induced naive xpath (tag & pos),0.0673076923076923,0.19444444444444445,0.09999999999999999
wiki,wiki-pol-party,9,36,Ensemble of induced naive xpath (tag & pos),0.05303030303030303,0.19444444444444445,0.08333333333333333
wiki,wiki-pol-party,1,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,2,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,3,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,4,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,5,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,6,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,7,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,8,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,9,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,1,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,2,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,3,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,4,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,5,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,6,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,7,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
wiki,wiki-pol-party,8,36,Path of tags with text augmentation [depth=0],1.0,1.0,1.0
