dataset,gt-tag,train-size,test-size,method,prec,recal,f1
wiki,wiki-pol-party,1,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,2,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,3,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,4,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,5,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,6,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,7,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,8,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,9,36,Tags on path,0.029580936729663106,1.0,0.05746209098164406
wiki,wiki-pol-party,1,36,Ensemble of tags and positions,0.0,0.0,0
wiki,wiki-pol-party,2,36,Ensemble of tags and positions,0.0975609756097561,0.1111111111111111,0.1038961038961039
wiki,wiki-pol-party,3,36,Ensemble of tags and positions,0.0,0.0,0
wiki,wiki-pol-party,4,36,Ensemble of tags and positions,0.05357142857142857,0.08333333333333333,0.06521739130434782
wiki,wiki-pol-party,5,36,Ensemble of tags and positions,0.0707070707070707,0.19444444444444445,0.10370370370370371
wiki,wiki-pol-party,6,36,Ensemble of tags and positions,0.0410958904109589,0.08333333333333333,0.05504587155963303
wiki,wiki-pol-party,7,36,Ensemble of tags and positions,0.056451612903225805,0.19444444444444445,0.08750000000000001
wiki,wiki-pol-party,8,36,Ensemble of tags and positions,0.06140350877192982,0.19444444444444445,0.09333333333333332
wiki,wiki-pol-party,9,36,Ensemble of tags and positions,0.05303030303030303,0.19444444444444445,0.08333333333333333
wiki,wiki-pol-party,1,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,2,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,3,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,4,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,5,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,6,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,7,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,8,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
wiki,wiki-pol-party,9,36,Ancestors and siblings and their text attributes,1.0,1.0,1.0
